Problem/Soltuion,Number,hkroger,snehal,eschare,# Category, Category
Problem,1,1,0,1,10a,General Information
Problem,2,1,0,1,2d,Conflicts
Problem,3,1,1,1,6c,Symptoms
Problem,4,*,*,*,*,*
Problem,5,1,0,1,3d,Basic Hygiene
Problem,6,*,*,*,*,*
Problem,7,*,*,*,*,*
Solution,7.1,1,1,0,2a,Info Sources
Problem,8,1,1,1,6k,Symptoms
Solution,8.1,1,1,1,2a,Info Sources
Problem,9,1,0,1,6f,Symptoms
Solution,9.1,1,0,1,2a,Info Sources
Problem,10,1,1,1,7c,Physical Saftey
Solution,10.1,1,1,0,7a,Safety
Solution,10.2,1,0,1,7a,Safety
Problem,11,1,1,1,5d,Legal Financial
Solution,11.1,1,0,1,1a,Contact Professional For Assitance
Problem,12,*,*,*,*,*
Solution,12.1,*,*,*,*,*
Problem,13,1,1,0,8g,Ethics
Solution,13.1,*,*,*,*,*
Problem,14,1,1,0,1b,Emotions of the Care Giver
Solution,14.1,1,1,1,2a,Info Sources
Problem,15,1,1,0,6f,Symptoms
Solution,15.1,1,1,1,3a,Caregiver Wellbeing
Solution,15.2,*,*,*,*,*
Problem,16,1,1,1,6f,Symptoms
Solution,16.1,1,1,1,2a,Info Sources
Solution,16.2,*,*,*,*,*
Problem,17,1,1,1,7a,Physical Saftey
Solution,17.1,0,1,1,3a,Caregiver Wellbeing
Solution,17.2,1,1,1,7a,Safety
Problem,18,1,1,0,9e,Doctors and Nursing Homes
Solution,18.1,0,1,1,8f,Home Care/Nursing Homes
Problem,19,0,1,1,1a,Emotions of the Care Giver
Solution,19.1,1,1,0,3a,Caregiver Wellbeing
Solution,19.2,1,1,0,2a,Info Sources
Problem,20,*,*,*,*,*
Solution,20.1,1,1,1,2a,Info Sources
Problem,21,1,1,1,6f,Symptoms
Solution,21.1,0,1,1,4f,Strategies to handle the patient
Problem,22,1,0,1,6g,Symptoms
Solution,22.1,1,0,1,2a,Info Sources
Problem,23,1,0,1,6k,Symptoms
Solution,23.1,0,1,1,2a,Info Sources
Problem,24,0,1,1,4b,Medicines
Solution,24.1,1,0,1,2a,Info Sources
Problem,25,1,1,1,9h,Doctors and Nursing Homes
Solution,25.1,*,*,*,*,*
Problem,26,1,0,1,6f,Symptoms
Solution,26.1,1,1,1,5a,Doctor Consultations
Problem,27,1,0,1,5e,Legal Financial
Solution,27.1,*,*,*,*,*
Solution,27.2,1,1,1,1a,Contact Professional For Assitance
Problem,28,1,1,1,9c,Doctors and Nursing Homes
Solution,28.1,1,1,1,2a,Info Sources
Problem,29,1,1,0,6k,Symptoms
Solution,29.1,0,1,1,7c,Safety
Solution,29.2,*,*,*,*,*
Problem,30,1,1,1,10a,General Information
Solution,30.1,1,0,1,2a,Info Sources
Problem,31,*,*,*,*,*
Solution,31.1,1,1,0,3a,Caregiver Wellbeing
Problem,32,1,1,1,4a,Medicines
Solution,32.1,0,1,1,5e,Doctor Consultations
Problem,33,1,1,1,6a,Symptoms
Solution,33.1,1,1,1,2a,Info Sources
Problem,34,1,1,0,9d,Doctors and Nursing Homes
Solution,34.1,*,*,*,*,*
Problem,35,0,1,1,1a,Emotions of the Care Giver
Solution,35.1,1,1,1,3d,Caregiver Wellbeing
Solution,35.2,0,1,1,3c,Caregiver Wellbeing
Solution,35.3,1,0,1,2a,Info Sources
Problem,36,1,0,1,5a,Legal Financial
Solution,36.1,1,1,1,1d,Contact Professional For Assitance
Problem,37,1,0,1,7d,Physical Saftey
Solution,37.1,1,1,1,2a,Info Sources
Problem,38,1,1,0,5d,Legal Financial
Solution,38.1,1,1,1,1a,Contact Professional For Assitance
Problem,39,*,*,*,*,*
Problem,40,*,*,*,*,*
Solution,40.1,1,1,1,3c,Caregiver Wellbeing
Solution,40.2,1,1,1,3c,Caregiver Wellbeing
Solution,40.3,0,1,1,1e,Contact Professional For Assitance
Problem,41,1,1,1,5a,Legal Financial
Solution,41.1,0,1,1,3a,Caregiver Wellbeing
Problem,42,1,1,1,6f,Symptoms
Solution,42.1,1,1,1,4b,Strategies to handle the patient
Problem,43,0,1,1,3g,Basic Hygiene
Solution,43.1,1,0,1,3c,Caregiver Wellbeing
Solution,43.2,*,*,*,*,*
Problem,44,*,*,*,*,*
Solution,44.1,1,1,1,8b,Home Care/Nursing Homes
Problem,45,1,1,1,3a,Basic Hygiene
Solution,45.1,0,1,1,8c,Home Care/Nursing Homes
Problem,46,1,0,1,7a,Physical Saftey
Solution,46.1,*,*,*,*,*
Problem,47,1,0,1,9h,Doctors and Nursing Homes
Solution,47.1,1,0,1,3c,Caregiver Wellbeing
Solution,47.2,1,1,0,4f,Strategies to handle the patient
Problem,48,1,1,1,2d,Conflicts
Solution,48.1,0,1,1,5b,Doctor Consultations
Problem,49,1,0,1,3d,Basic Hygiene
Solution,49.1,0,1,1,3a,Caregiver Wellbeing
Solution,49.2,*,*,*,*,*
Problem,50,1,0,1,7d,Physical Saftey
Solution,50.1,*,*,*,*,*
Solution,50.2,1,1,0,3c,Caregiver Wellbeing
Problem,51,*,*,*,*,*
Solution,51.1,1,1,0,3a,Caregiver Wellbeing
Problem,52,*,*,*,*,*
Solution,52.1,0,1,1,8b,Home Care/Nursing Homes
Problem,53,*,*,*,*,*
Solution,53.1,1,1,1,5a,Doctor Consultations
Problem,54,1,1,1,2d,Conflicts
Solution,54.1,1,0,1,3c,Caregiver Wellbeing
Problem,55,1,1,1,8f,Ethics
Solution,55.1,1,1,1,3c,Caregiver Wellbeing
Problem,56,0,1,1,6f,Symptoms
Solution,56.1,*,*,*,*,*
Solution,56.2,1,1,1,3c,Caregiver Wellbeing
Solution,56.3,*,*,*,*,*
Problem,57,1,0,1,2a,Conflicts
Problem,58,1,0,1,7h,Physical Saftey
Problem,59,1,1,0,7h,Physical Saftey
Solution,59.1,1,1,1,2a,Info Sources
Problem,60,1,1,0,2c,Conflicts
Solution,60.1,1,0,1,2a,Info Sources
Solution,60.2,1,1,1,3c,Caregiver Wellbeing
Problem,61,*,*,*,*,*
Solution,61.1,1,1,0,3a,Caregiver Wellbeing
